ARCHIVIO CENTRALE DELLO STATO
#ARCHIVIO DELLA BADIA DI CAVA
#ARCHIVIO DELL'ABBAZIA DI MONTECASSINO
#ARCHIVIO DELL'ABBAZIA DI MONTEVERGINE
#ARCHIVIO DI STATO DI AGRIGENTO
ARCHIVIO DI STATO DI ALESSANDRIA
#ARCHIVIO DI STATO DI ANCONA
#ARCHIVIO DI STATO DI AREZZO
#ARCHIVIO DI STATO DI ASCOLI PICENO
#ARCHIVIO DI STATO DI ASTI
#ARCHIVIO DI STATO DI AVELLINO
#ARCHIVIO DI STATO DI BARI
#ARCHIVIO DI STATO DI BENEVENTO
#ARCHIVIO DI STATO DI BERGAMO
#ARCHIVIO DI STATO DI BIELLA
#ARCHIVIO DI STATO DI BOLOGNA
#ARCHIVIO DI STATO DI BOLZANO
#ARCHIVIO DI STATO DI VERCELLI
#ARCHIVIO DI STATO DI BRESCIA
#ARCHIVIO DI STATO DI BRINDISI
#ARCHIVIO DI STATO DI CAGLIARI
#ARCHIVIO DI STATO DI CALTANISSETTA
#ARCHIVIO DI STATO DI CAMPOBASSO
#ARCHIVIO DI STATO DI CASERTA
#ARCHIVIO DI STATO DI CATANIA
#ARCHIVIO DI STATO DI CATANZARO
#ARCHIVIO DI STATO DI CHIETI
#ARCHIVIO DI STATO DI COMO
#ARCHIVIO DI STATO DI COSENZA
#ARCHIVIO DI STATO DI CREMONA
#ARCHIVIO DI STATO DI CUNEO
#ARCHIVIO DI STATO DI ENNA
#ARCHIVIO DI STATO DI FERRARA
#ARCHIVIO DI STATO DI FIRENZE
#ARCHIVIO DI STATO DI FOGGIA
#ARCHIVIO DI STATO DI FORLÌ
#ARCHIVIO DI STATO DI FROSINONE
#ARCHIVIO DI STATO DI GENOVA
#ARCHIVIO DI STATO DI GORIZIA
#ARCHIVIO DI STATO DI GROSSETO
#ARCHIVIO DI STATO DI IMPERIA
#ARCHIVIO DI STATO DI ISERNIA
#ARCHIVIO DI STATO DI L'AQUILA
#ARCHIVIO DI STATO DI LA SPEZIA
#ARCHIVIO DI STATO DI LATINA
#ARCHIVIO DI STATO DI LECCE
#ARCHIVIO DI STATO DI LIVORNO
#ARCHIVIO DI STATO DI LUCCA
#ARCHIVIO DI STATO DI MACERATA
#ARCHIVIO DI STATO DI MANTOVA
#ARCHIVIO DI STATO DI MASSA
#ARCHIVIO DI STATO DI MATERA
#ARCHIVIO DI STATO DI MESSINA
#ARCHIVIO DI STATO DI MILANO
#ARCHIVIO DI STATO DI MODENA
#ARCHIVIO DI STATO DI NAPOLI
#ARCHIVIO DI STATO DI NOVARA
#ARCHIVIO DI STATO DI NUORO
#ARCHIVIO DI STATO DI PADOVA
#ARCHIVIO DI STATO DI PALERMO
#ARCHIVIO DI STATO DI PARMA
#ARCHIVIO DI STATO DI PAVIA
#ARCHIVIO DI STATO DI PERUGIA
#ARCHIVIO DI STATO DI PESARO
#ARCHIVIO DI STATO DI PESCARA
#ARCHIVIO DI STATO DI PIACENZA
#ARCHIVIO DI STATO DI PISA
#ARCHIVIO DI STATO DI PISTOIA
#ARCHIVIO DI STATO DI POTENZA
#ARCHIVIO DI STATO DI PRATO
#ARCHIVIO DI STATO DI RAGUSA
#ARCHIVIO DI STATO DI RAVENNA
#ARCHIVIO DI STATO DI REGGIO DI CALABRIA
#ARCHIVIO DI STATO DI REGGIO NELL'EMILIA
#ARCHIVIO DI STATO DI RIETI
#ARCHIVIO DI STATO DI RIMINI
#ARCHIVIO DI STATO DI ROMA
#ARCHIVIO DI STATO DI ROVIGO
#ARCHIVIO DI STATO DI SALERNO
#ARCHIVIO DI STATO DI SASSARI
#ARCHIVIO DI STATO DI SAVONA
#ARCHIVIO DI STATO DI SIENA
#ARCHIVIO DI STATO DI SIRACUSA
#ARCHIVIO DI STATO DI SONDRIO
#ARCHIVIO DI STATO DI TARANTO
#ARCHIVIO DI STATO DI TERAMO
#ARCHIVIO DI STATO DI TERNI
#ARCHIVIO DI STATO DI TORINO
#ARCHIVIO DI STATO DI TRAPANI
#ARCHIVIO DI STATO DI TRENTO
#ARCHIVIO DI STATO DI TREVISO
#ARCHIVIO DI STATO DI TRIESTE
#ARCHIVIO DI STATO DI UDINE
#ARCHIVIO DI STATO DI VARESE
#ARCHIVIO DI STATO DI VENEZIA
#ARCHIVIO DI STATO DI VERBANIA
#ARCHIVIO DI STATO DI VERONA
#ARCHIVIO DI STATO DI VICENZA
ARCHIVIO DI STATO DI VITERBO
#SEZIONE DI ARCHIVIO DI STATO DI BARLETTA
#SEZIONE DI ARCHIVIO DI STATO DI BASSANO DEL GRAPPA
#SEZIONE DI ARCHIVIO DI STATO DI CAMERINO
#SEZIONE DI ARCHIVIO DI STATO DI CASTROVILLARI
#SEZIONE DI ARCHIVIO DI STATO DI CESENA
#SEZIONE DI ARCHIVIO DI STATO DI ESTE
#SEZIONE DI ARCHIVIO DI STATO DI FAENZA
#SEZIONE DI ARCHIVIO DI STATO DI FANO
#SEZIONE DI ARCHIVIO DI STATO DI FERMO
#SEZIONE DI ARCHIVIO DI STATO DI FOLIGNO
#SEZIONE DI ARCHIVIO DI STATO DI GUBBIO
#SEZIONE DI ARCHIVIO DI STATO DI IMOLA
#SEZIONE DI ARCHIVIO DI STATO DI LANCIANO
#SEZIONE DI ARCHIVIO DI STATO DI LUCERA
#SEZIONE DI ARCHIVIO DI STATO DI MODICA
#SEZIONE DI ARCHIVIO DI STATO DI NOTO
#SEZIONE DI ARCHIVIO DI STATO DI ORVIETO
#SEZIONE DI ARCHIVIO DI STATO DI PESCIA
#SEZIONE DI ARCHIVIO DI STATO DI PONTREMOLI
#SEZIONE DI ARCHIVIO DI STATO DI SAN REMO
#SEZIONE DI ARCHIVIO DI STATO DI SPOLETO
#SEZIONE DI ARCHIVIO DI STATO DI SULMONA
#SEZIONE DI ARCHIVIO DI STATO DI TERMINI IMERESE
#SEZIONE DI ARCHIVIO DI STATO DI TRANI
#SEZIONE DI ARCHIVIO DI STATO DI URBINO
#SEZIONE DI ARCHIVIO DI STATO DI VARALLO
#SEZIONE DI ARCHIVIO DI STATO DI VENTIMIGLIA
